IP,Port,Degree
127.0.0.1,6094,0
127.0.0.1,6099,0
127.0.0.1,6095,0
127.0.0.1,6080,2
127.0.0.1,6114,0
127.0.0.1,6110,0
127.0.0.1,6087,0
127.0.0.1,6117,1
127.0.0.1,6089,0
127.0.0.1,6130,1
127.0.0.1,6103,0
127.0.0.1,6107,1
127.0.0.1,6124,0
127.0.0.1,6121,0
127.0.0.1,6141,0
127.0.0.1,6116,0
127.0.0.1,6127,0
127.0.0.1,6132,0
127.0.0.1,6129,1
127.0.0.1,6135,0
127.0.0.1,6120,0
127.0.0.1,6157,0
127.0.0.1,6150,0
127.0.0.1,6159,0
127.0.0.1,6160,0
127.0.0.1,6156,0
127.0.0.1,6166,0
127.0.0.1,6144,0
127.0.0.1,6151,0
